County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Coamo Municipio,39796,163202.0,2.25,0.01,0.0,0.0,1.18,0.23,0.54,0.51,1.97
Cobb County,739072,9511520.0,0.2,0.88,0.41,0.08,0.18,0.1,0.75,0.24,1.28
Cochise County,126516,1495067.0,0.94,1.37,0.08,0.05,0.51,0.22,0.82,0.63,1.98
Cochran County,2932,37500.0,1.94,1.29,0.09,0.0,0.85,0.27,0.88,0.44,2.44
Cocke County,35262,265312.0,0.04,2.13,0.03,0.0,0.56,0.23,0.5,0.52,1.89
Coconino County,138639,1497301.0,0.26,1.1,0.02,0.03,0.45,0.17,0.73,0.45,1.43
Codington County,27963,397667.0,0.05,2.34,0.01,0.02,0.29,0.06,0.69,0.39,2.08
Coffee County,148195,1500900.0,0.14,1.74,0.32,0.02,0.42,0.14,0.67,0.36,1.97
Coffey County,8328,181026.0,0.09,3.37,0.03,0.02,0.41,0.14,1.11,0.65,2.97
Coke County,3238,82784.0,1.3,4.75,0.04,0.01,1.02,0.27,2.56,0.87,5.2
Colbert County,54435,626226.0,0.06,1.99,0.45,0.01,0.47,0.17,0.66,0.4,2.28
Cole County,76749,827971.0,0.05,1.58,0.24,0.03,0.27,0.1,0.7,0.34,1.65
Coleman County,8422,132897.0,0.55,2.8,0.09,0.06,0.73,0.21,1.1,0.38,3.12
Coles County,52540,522914.0,0.05,2.09,0.08,0.02,0.51,0.17,0.68,0.44,1.78
Colfax County,23138,274302.0,1.0,1.49,0.03,0.02,0.41,0.16,0.83,0.44,1.89
Colleton County,37581,345870.0,0.05,1.36,0.92,0.0,0.5,0.24,0.59,0.53,1.94
Collier County,356774,5033012.0,0.45,1.42,0.13,0.02,0.26,0.1,0.69,0.44,1.47
Collin County,914075,14467158.0,0.25,0.98,0.15,0.23,0.12,0.07,0.88,0.2,1.35
Collingsworth County,3026,46348.0,1.03,1.99,0.12,0.0,0.5,0.23,0.69,0.74,2.85
Colonial Heights city,17582,266139.0,0.17,2.07,0.4,0.11,0.39,0.29,1.0,0.5,2.44
Colorado County,20913,261483.0,0.69,1.39,0.29,0.0,0.28,0.07,0.71,0.42,2.05
Colquitt County,45890,355666.0,0.43,1.18,0.53,0.01,0.57,0.18,0.47,0.44,1.58
Columbia County,475291,5696048.0,0.09,1.67,0.18,0.04,0.26,0.13,0.7,0.37,1.66
Columbiana County,104584,1086577.0,0.03,2.16,0.06,0.0,0.39,0.2,0.58,0.44,1.97
Columbus County,56589,498026.0,0.12,1.36,0.68,0.01,0.54,0.16,0.6,0.52,1.99
Colusa County,21479,280707.0,1.26,0.94,0.02,0.03,0.33,0.14,0.58,0.45,1.79
Comal County,129100,1782909.0,0.51,1.27,0.03,0.02,0.18,0.07,0.72,0.28,1.5
Comanche County,138299,1749245.0,0.37,1.56,0.4,0.05,0.52,0.22,0.86,0.56,1.96
Comerío Municipio,19914,61860.0,2.5,0.01,0.0,0.0,1.51,0.7,0.73,0.61,1.97
Concho County,3858,46696.0,1.37,1.16,0.02,0.03,0.22,0.01,0.8,0.41,2.06
Concordia Parish,20211,162405.0,0.03,1.47,0.95,0.01,0.7,0.22,0.59,0.5,2.23
Conecuh County,12649,153001.0,0.09,2.09,1.71,0.0,0.96,0.51,0.68,0.74,3.56
Conejos County,8147,73238.0,1.31,1.08,0.01,0.0,0.52,0.23,0.73,0.51,1.89
Contra Costa County,1123678,20351592.0,0.45,0.85,0.14,0.29,0.18,0.13,0.8,0.33,1.24
Converse County,14166,260846.0,0.19,2.6,0.0,0.0,0.22,0.18,0.83,0.48,2.16
Conway County,20954,236040.0,0.11,2.34,0.32,0.0,0.5,0.21,0.75,0.46,2.34
Cook County,5261001,80754631.0,0.59,1.0,0.72,0.16,0.45,0.26,0.93,0.49,1.5
Cooke County,39064,459832.0,0.39,1.51,0.07,0.02,0.32,0.12,0.54,0.44,1.56
Cooper County,17620,235194.0,0.06,2.48,0.2,0.01,0.32,0.13,0.89,0.6,2.35
