County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Huron County,90247,1192547.0,0.12,2.58,0.02,0.01,0.38,0.17,0.74,0.45,2.31
Hutchinson County,28981,471220.0,0.68,2.58,0.07,0.01,0.59,0.18,0.9,0.57,2.73
Hyde County,6880,94228.0,0.13,2.11,0.45,0.0,0.5,0.2,0.99,0.45,2.07
Iberia Parish,73346,661948.0,0.08,1.12,0.73,0.05,0.44,0.24,0.5,0.43,1.69
Iberville Parish,33122,323184.0,0.05,0.98,1.05,0.0,0.41,0.16,0.55,0.46,1.81
Ida County,6965,155079.0,0.08,4.14,0.0,0.02,0.45,0.13,1.47,0.63,3.42
Idaho County,16275,203387.0,0.1,2.81,0.01,0.01,0.41,0.19,0.82,0.58,2.12
Imperial County,179957,1400852.0,1.34,0.27,0.05,0.02,0.42,0.28,0.4,0.41,1.36
Independence County,37097,339340.0,0.14,1.91,0.04,0.02,0.41,0.14,0.64,0.35,1.76
Indian River County,147981,1524525.0,0.19,1.57,0.14,0.02,0.23,0.15,0.67,0.39,1.56
Indiana County,86551,1047374.0,0.03,2.51,0.05,0.02,0.5,0.21,0.78,0.52,2.11
Ingham County,286185,3633521.0,0.23,1.9,0.3,0.18,0.57,0.24,1.09,0.57,2.0
Inyo County,18195,352010.0,0.67,2.17,0.04,0.05,0.3,0.17,1.03,0.75,2.26
Ionia County,64147,617971.0,0.1,1.76,0.12,0.01,0.27,0.13,0.49,0.34,1.54
Iosco County,25317,369104.0,0.07,3.35,0.02,0.02,0.61,0.36,0.8,0.69,2.84
Iowa County,39807,592062.0,0.05,2.4,0.02,0.01,0.24,0.07,0.8,0.4,2.0
Iredell County,169798,2678885.0,0.2,1.97,0.33,0.05,0.34,0.19,0.86,0.41,2.16
Irion County,1592,63021.0,1.44,4.55,0.2,0.0,0.85,0.43,2.34,0.6,5.07
Iron County,75829,848294.0,0.11,2.42,0.02,0.01,0.47,0.18,0.7,0.57,2.07
Iroquois County,28457,458593.0,0.21,2.86,0.03,0.01,0.48,0.2,0.92,0.56,2.59
Irwin County,9278,70027.0,0.04,1.63,0.42,0.01,0.54,0.17,0.68,0.4,1.84
Isabela Municipio,43314,141597.0,2.05,0.02,0.0,0.0,1.12,0.44,0.6,0.43,1.78
Isabella County,70572,648492.0,0.08,1.84,0.05,0.03,0.61,0.17,0.66,0.53,1.65
Isanti County,38584,529612.0,0.04,1.96,0.01,0.02,0.15,0.11,0.62,0.3,1.68
Island County,80323,1279297.0,0.19,2.1,0.09,0.11,0.27,0.17,0.85,0.53,1.9
Isle of Wight County,36090,570190.0,0.06,1.56,0.5,0.02,0.25,0.16,0.82,0.33,1.97
Issaquena County,1296,25609.0,0.09,2.62,5.01,0.0,3.11,0.97,0.88,2.2,7.21
Itasca County,45237,578864.0,0.03,2.21,0.01,0.01,0.3,0.16,0.76,0.46,1.96
Itawamba County,23439,196752.0,0.03,1.89,0.19,0.0,0.41,0.13,0.49,0.32,1.82
Izard County,13521,152853.0,0.06,2.76,0.06,0.01,0.5,0.29,0.91,0.62,2.29
Jack County,8839,165793.0,0.54,2.66,0.15,0.0,0.6,0.12,0.87,0.43,2.89
Jackson County,1722755,20830438.0,0.2,1.71,0.45,0.04,0.46,0.18,0.79,0.48,1.99
Jackson Parish,15952,191947.0,0.05,2.12,0.93,0.01,0.78,0.2,0.82,0.68,2.58
James City County,73028,884597.0,0.09,1.12,0.21,0.04,0.13,0.08,0.67,0.26,1.22
Jasper County,291555,2936512.0,0.12,1.67,0.23,0.01,0.34,0.13,0.56,0.38,1.71
Jay County,21107,311878.0,0.09,3.16,0.01,0.02,0.58,0.2,0.72,0.53,2.65
Jayuya Municipio,15297,47003.0,1.96,0.0,0.0,0.0,1.18,0.49,0.5,0.35,1.67
Jeff Davis County,17235,161709.0,0.37,1.63,0.3,0.01,0.36,0.13,0.67,0.36,1.88
Jefferson County,3208539,44510438.0,0.19,1.63,0.55,0.05,0.4,0.18,0.85,0.46,2.0
Jefferson Davis County,11639,83405.0,0.01,1.0,1.57,0.0,0.81,0.26,0.46,0.5,2.3
Jefferson Davis Parish,31405,283383.0,0.04,1.68,0.44,0.01,0.46,0.21,0.58,0.45,1.8
Jefferson Parish,437038,6663616.0,0.38,1.58,0.72,0.1,0.46,0.17,0.9,0.56,2.32
Jenkins County,8929,62266.0,0.15,1.23,0.81,0.02,0.67,0.14,0.58,0.53,1.78
Jennings County,27840,300019.0,0.05,2.06,0.03,0.01,0.31,0.13,0.46,0.38,1.8
Jerauld County,2034,49882.0,0.11,4.73,0.0,0.0,0.44,0.01,1.48,0.81,3.62
Jerome County,23039,226278.0,0.78,1.34,0.0,0.01,0.38,0.09,0.5,0.33,1.71
Jersey County,22215,335170.0,0.03,2.59,0.02,0.01,0.3,0.18,0.87,0.51,2.23
Jessamine County,51667,519854.0,0.05,1.56,0.07,0.02,0.31,0.13,0.6,0.3,1.4
Jewell County,2963,81710.0,0.16,6.47,0.02,0.0,0.99,0.13,2.84,0.78,5.2
Jim Hogg County,5262,63081.0,3.57,0.22,0.0,0.0,0.99,0.64,1.0,0.92,2.92
Jim Wells County,41318,289759.0,1.4,0.27,0.01,0.01,0.41,0.1,0.47,0.35,1.4
Jo Daviess County,22046,343682.0,0.07,2.6,0.01,0.01,0.2,0.13,0.82,0.49,2.11
Johnson County,1190221,17048350.0,0.16,1.62,0.09,0.07,0.22,0.09,0.86,0.29,1.63
Johnston County,197347,1402832.0,0.2,0.94,0.21,0.01,0.24,0.1,0.47,0.23,1.17
Jones County,147821,1526422.0,0.16,1.62,0.47,0.01,0.41,0.16,0.69,0.38,1.87
Josephine County,84514,666416.0,0.13,1.65,0.01,0.01,0.36,0.19,0.56,0.39,1.52
Juab County,10694,117292.0,0.08,1.73,0.0,0.0,0.24,0.05,0.53,0.3,1.39
Juana Díaz Municipio,47952,241329.0,2.49,0.01,0.0,0.0,1.22,0.59,0.61,0.52,2.12
Judith Basin County,1965,43281.0,0.12,4.87,0.0,0.0,0.71,0.15,2.22,0.73,2.76
Juncos Municipio,39704,110034.0,1.5,0.01,0.0,0.0,0.76,0.4,0.4,0.38,1.39
Juneau City and Borough,32434,529812.0,0.12,1.23,0.02,0.12,0.14,0.08,0.87,0.27,1.19
Juneau County,26427,341135.0,0.08,2.44,0.05,0.01,0.38,0.12,0.63,0.55,2.12
Juniata County,24448,250283.0,0.05,1.95,0.02,0.01,0.28,0.1,0.51,0.32,1.61
Kalamazoo County,259830,3037965.0,0.11,1.67,0.27,0.05,0.41,0.16,0.82,0.42,1.79
Kalawao County,86,61750.0,5.47,24.3,0.0,33.84,14.77,0.0,25.81,44.3,38.14
Kalkaska County,17358,217489.0,0.04,2.75,0.02,0.01,0.5,0.26,0.61,0.65,2.38
Kanabec County,15948,203892.0,0.04,2.39,0.01,0.01,0.29,0.13,0.69,0.55,1.98
Kanawha County,187827,2528850.0,0.04,2.4,0.25,0.03,0.51,0.19,1.04,0.54,2.27
Kandiyohi County,42577,687037.0,0.32,2.33,0.11,0.02,0.32,0.08,0.92,0.48,2.35
Kane County,536648,6149518.0,0.52,0.88,0.09,0.05,0.18,0.1,0.5,0.27,1.25
Kankakee County,110801,1581187.0,0.29,1.77,0.5,0.02,0.45,0.22,0.73,0.48,2.14
Karnes County,15051,226896.0,1.34,1.17,0.13,0.0,0.48,0.12,0.78,0.54,2.15
Kauai County,71093,882921.0,0.19,0.6,0.01,0.51,0.19,0.09,0.54,0.53,1.43
Kaufman County,114852,1121186.0,0.35,1.01,0.17,0.01,0.23,0.1,0.47,0.27,1.3
Kay County,45173,504929.0,0.19,1.82,0.06,0.01,0.44,0.17,0.68,0.45,2.02
Kearney County,6547,103231.0,0.18,2.83,0.0,0.01,0.29,0.1,0.93,0.52,2.45
Kearny County,3931,51439.0,0.79,1.68,0.01,0.01,0.34,0.1,0.99,0.33,2.01
Keith County,8129,126258.0,0.29,3.3,0.02,0.04,0.53,0.1,1.06,0.76,2.93
Kemper County,10082,53288.0,0.03,0.7,1.17,0.0,0.63,0.14,0.44,0.43,1.61
Kenai Peninsula Borough,57961,823181.0,0.09,1.69,0.01,0.04,0.27,0.21,0.73,0.42,1.36
Kendall County,163239,1345962.0,0.2,0.7,0.03,0.02,0.06,0.05,0.38,0.15,0.81
Kenedy County,564,24800.0,15.69,2.0,0.0,0.04,4.4,0.0,3.39,5.04,17.23
Kennebec County,121289,1606848.0,0.04,2.43,0.02,0.02,0.38,0.14,0.94,0.45,2.05
Kenosha County,167886,1977580.0,0.29,1.56,0.17,0.02,0.34,0.17,0.64,0.41,1.75
Kent County,993879,12430127.0,0.19,1.53,0.22,0.05,0.28,0.12,0.72,0.36,1.66
Kenton County,163987,2304987.0,0.09,2.17,0.15,0.03,0.38,0.16,0.87,0.42,1.99
Keokuk County,10223,192563.0,0.06,3.79,0.0,0.02,0.44,0.21,1.3,0.63,3.09
Kern County,878744,7768236.0,0.86,0.65,0.09,0.06,0.39,0.19,0.43,0.32,1.31
Kerr County,50761,510491.0,0.53,1.36,0.02,0.02,0.25,0.11,0.6,0.46,1.55
Kershaw County,63734,694114.0,0.08,1.67,0.53,0.01,0.4,0.17,0.73,0.39,2.06
Ketchikan Gateway Borough,13745,284864.0,0.13,1.91,0.02,0.19,0.31,0.19,0.88,0.49,1.95
Kewaunee County,20378,227212.0,0.05,1.87,0.01,0.01,0.2,0.08,0.6,0.27,1.57
Keweenaw County,2136,41206.0,0.03,6.91,2.4,0.0,3.01,1.42,1.59,1.51,5.15
Keya Paha County,720,48864.0,0.15,13.58,0.01,0.01,1.07,0.17,6.72,1.53,7.78
Kidder County,2457,60225.0,0.2,3.82,0.02,0.01,0.28,0.05,1.53,0.67,2.33
Kimball County,3688,43017.0,0.24,2.39,0.0,0.02,0.31,0.16,0.76,0.38,2.08
Kimble County,4432,79760.0,1.07,3.35,0.0,0.0,1.0,0.27,1.18,0.98,3.28
King County,2118408,35547205.0,0.18,1.17,0.11,0.3,0.2,0.1,0.94,0.29,1.21
King George County,25564,430616.0,0.1,1.45,0.32,0.02,0.12,0.09,0.82,0.36,1.62
King William County,16329,262774.0,0.02,1.82,0.47,0.03,0.27,0.1,0.83,0.27,2.18
King and Queen County,7052,101763.0,0.09,1.93,0.69,0.0,0.44,0.13,0.79,0.58,2.33
Kingfisher County,15510,261899.0,0.35,2.04,0.03,0.0,0.21,0.11,0.92,0.36,2.24
Kingman County,7576,166466.0,0.11,3.74,0.01,0.0,0.3,0.19,1.35,0.53,3.19
Kings County,2785304,46022187.0,0.54,1.04,0.83,0.31,0.56,0.23,1.08,0.64,0.62
Kingsbury County,5000,118873.0,0.08,3.81,0.0,0.06,0.37,0.08,1.54,0.51,2.97
Kinney County,3631,34926.0,1.7,1.05,0.0,0.0,0.29,0.22,0.67,1.06,2.24
Kiowa County,13019,197738.0,0.3,3.09,0.07,0.02,0.7,0.21,1.28,0.72,3.05
Kit Carson County,7846,133081.0,0.52,3.18,0.07,0.02,0.41,0.22,1.33,0.52,2.76
Kitsap County,258903,3721652.0,0.15,1.62,0.06,0.1,0.22,0.14,0.82,0.39,1.44
Kittitas County,43726,412591.0,0.15,1.55,0.02,0.03,0.36,0.1,0.62,0.4,1.33
Kittson County,4384,105988.0,0.1,4.38,0.03,0.02,0.51,0.12,1.51,0.76,3.31
Klamath County,66018,884553.0,0.39,2.37,0.02,0.03,0.57,0.27,0.86,0.63,2.4
Kleberg County,31540,202961.0,1.16,0.33,0.05,0.03,0.38,0.15,0.49,0.33,1.2
Klickitat County,21172,153571.0,0.16,1.17,0.0,0.01,0.21,0.07,0.44,0.26,1.01
Knott County,15690,154667.0,0.03,3.1,0.01,0.0,1.05,0.46,0.96,0.68,2.56
Knox County,689717,9139818.0,0.1,2.16,0.19,0.04,0.44,0.15,0.91,0.47,2.08
Kodiak Island Borough,13773,361858.0,0.28,1.94,0.01,0.66,0.38,0.22,1.12,0.5,2.3
Koochiching County,12776,186582.0,0.0,2.94,0.02,0.01,0.53,0.21,0.83,0.64,2.3
Kootenai County,150128,1400845.0,0.07,1.52,0.01,0.01,0.22,0.1,0.55,0.32,1.33
Kosciusko County,78720,1085248.0,0.17,2.16,0.01,0.02,0.27,0.11,0.68,0.31,1.98
Kossuth County,15166,326206.0,0.09,3.77,0.04,0.02,0.41,0.09,1.36,0.54,3.23
Kusilvak Census Area,8129,36468.0,0.02,0.05,0.0,0.01,0.48,0.35,0.38,0.3,0.06
La Crosse County,117582,1405388.0,0.04,1.93,0.03,0.08,0.35,0.1,0.78,0.43,1.7
La Paz County,20477,322972.0,0.96,2.57,0.03,0.02,0.63,0.32,0.97,0.91,2.75
La Plata County,54469,624619.0,0.23,1.45,0.01,0.01,0.18,0.08,0.76,0.33,1.33
La Salle County,7418,44601.0,1.08,0.24,0.02,0.0,0.11,0.07,0.4,0.2,1.19
LaGrange County,38720,471035.0,0.07,1.95,0.0,0.01,0.19,0.07,0.42,0.24,1.11
LaMoure County,4106,116420.0,0.04,4.75,0.0,0.0,0.52,0.04,1.89,0.62,3.42
LaPorte County,110839,1431766.0,0.16,1.98,0.31,0.02,0.45,0.21,0.67,0.5,2.09
LaSalle County,111151,1521177.0,0.25,2.17,0.05,0.02,0.35,0.22,0.68,0.5,2.11
LaSalle Parish,14930,116694.0,0.05,1.69,0.22,0.0,0.48,0.12,0.57,0.34,1.71
Labette County,20553,360760.0,0.16,3.33,0.14,0.01,0.72,0.21,1.25,0.84,3.28
Lac qui Parle County,6840,149707.0,0.09,4.2,0.04,0.02,0.42,0.14,1.65,0.75,3.32
Lackawanna County,211960,2836659.0,0.21,2.37,0.08,0.07,0.47,0.16,0.92,0.5,2.2
Laclede County,35488,245401.0,0.04,1.58,0.01,0.01,0.31,0.13,0.45,0.27,1.37
Lafayette County,117889,1242106.0,0.08,1.76,0.31,0.02,0.43,0.13,0.73,0.41,1.78
Lafayette Parish,238230,2214689.0,0.08,1.09,0.53,0.03,0.33,0.09,0.58,0.37,1.45
Lafourche Parish,98112,1205187.0,0.1,1.75,0.35,0.02,0.39,0.17,0.65,0.38,1.88
Lajas Municipio,23893,70283.0,2.09,0.0,0.0,0.0,1.28,0.41,0.48,0.48,1.92
Lake County,1900172,27979418.0,0.35,1.43,0.31,0.07,0.32,0.17,0.76,0.43,1.77
Lake and Peninsula Borough,1301,45208.0,0.12,1.68,0.05,0.17,1.27,1.01,2.88,1.31,1.69
Lake of the Woods County,3841,98936.0,0.11,4.84,0.0,0.04,0.45,0.2,1.08,0.8,3.51
Lamar County,142221,1195909.0,0.09,1.35,0.32,0.02,0.35,0.15,0.54,0.32,1.5
Lamb County,13368,223797.0,2.05,1.52,0.12,0.02,0.71,0.12,1.3,0.53,3.06
Lamoille County,25191,378122.0,0.04,2.64,0.02,0.02,0.38,0.11,1.04,0.57,2.18
Lampasas County,20473,259008.0,0.49,1.79,0.06,0.03,0.3,0.19,0.79,0.49,1.85
Lancaster County,940243,11109561.0,0.18,1.6,0.13,0.06,0.27,0.1,0.69,0.34,1.57
Lander County,5887,79865.0,0.46,1.15,0.0,0.0,0.22,0.13,0.38,0.26,0.98
Lane County,365173,4369740.0,0.19,1.99,0.02,0.05,0.44,0.18,0.83,0.48,1.71
Langlade County,19190,279327.0,0.06,2.97,0.02,0.01,0.45,0.2,0.86,0.5,2.5
Lanier County,10388,63682.0,0.1,1.45,0.34,0.01,0.56,0.2,0.59,0.33,1.69
Lapeer County,88205,1315685.0,0.13,2.45,0.08,0.01,0.27,0.2,0.74,0.44,2.25
Laramie County,97031,1289796.0,0.29,1.62,0.05,0.03,0.21,0.11,0.78,0.34,1.69
Lares Municipio,27321,98248.0,2.91,0.01,0.0,0.0,1.68,1.07,1.13,0.54,2.66
Larimer County,330976,4747018.0,0.26,1.83,0.02,0.04,0.33,0.11,0.96,0.39,1.6
Larue County,14102,176449.0,0.06,2.64,0.1,0.01,0.4,0.16,0.63,0.4,2.31
Las Animas County,14151,254331.0,1.84,2.21,0.03,0.04,0.7,0.33,1.35,1.05,3.05
Las Marías Municipio,8874,40025.0,3.35,0.03,0.0,0.0,1.98,0.06,1.07,0.74,2.82
Las Piedras Municipio,38253,117484.0,1.56,0.0,0.0,0.0,0.73,0.34,0.4,0.31,1.38
Lassen County,31470,465998.0,0.36,2.16,0.15,0.03,0.48,0.25,0.79,0.76,2.26
Latah County,38697,323520.0,0.07,1.63,0.01,0.04,0.37,0.12,0.75,0.31,1.23
Latimer County,10621,126154.0,0.09,1.85,0.03,0.01,0.51,0.22,0.9,0.51,2.35
Lauderdale County,197308,1949620.0,0.06,1.63,0.79,0.01,0.57,0.22,0.71,0.53,2.16
Laurel County,59901,511302.0,0.04,2.08,0.02,0.01,0.51,0.21,0.55,0.32,1.87
Laurens County,113959,1176973.0,0.08,1.71,0.79,0.01,0.62,0.18,0.73,0.51,2.2
Lavaca County,19859,315440.0,0.57,2.22,0.2,0.01,0.32,0.09,0.98,0.44,2.5
Lawrence County,395722,4595161.0,0.05,2.4,0.11,0.01,0.45,0.18,0.73,0.5,2.21
Le Flore County,49860,465890.0,0.16,1.72,0.05,0.01,0.55,0.17,0.62,0.48,2.06
Le Sueur County,27810,397639.0,0.13,1.97,0.02,0.01,0.2,0.09,0.68,0.33,1.78
Lea County,69505,1088046.0,1.44,1.0,0.09,0.0,0.39,0.16,0.63,0.4,2.18
Leake County,22936,184270.0,0.1,1.09,0.89,0.0,0.53,0.19,0.54,0.44,1.72
Leavenworth County,79359,1078289.0,0.12,1.62,0.16,0.03,0.21,0.09,0.75,0.4,1.62
Lebanon County,137616,1811360.0,0.29,1.87,0.04,0.03,0.24,0.13,0.66,0.42,1.82
Lee County,1175584,13997020.0,0.29,1.65,0.3,0.04,0.39,0.16,0.74,0.44,1.85
Leelanau County,21564,372321.0,0.11,2.54,0.01,0.02,0.22,0.17,1.06,0.52,2.0
Leflore County,30113,215742.0,0.07,0.67,1.88,0.02,1.05,0.35,0.7,0.56,2.28
Lehigh County,360774,4646742.0,0.5,1.39,0.12,0.06,0.3,0.16,0.68,0.37,1.65
Lemhi County,7755,118283.0,0.13,3.6,0.01,0.01,0.64,0.18,1.2,0.65,2.76
Lenawee County,98585,1176043.0,0.19,2.04,0.04,0.01,0.34,0.14,0.64,0.43,1.94
Lenoir County,57934,536221.0,0.17,1.08,1.24,0.01,0.7,0.37,0.66,0.61,1.93
Leon County,302856,3750387.0,0.14,1.32,0.76,0.07,0.53,0.23,1.0,0.44,1.84
Leslie County,10648,84096.0,0.02,2.76,0.0,0.01,1.01,0.44,0.88,0.59,2.39
Letcher County,23011,215391.0,0.02,2.97,0.01,0.01,0.91,0.38,1.06,0.48,2.53
Levy County,39713,317294.0,0.16,1.82,0.2,0.01,0.52,0.19,0.54,0.55,1.83
Lewis County,158639,1994824.0,0.14,2.56,0.02,0.02,0.49,0.21,0.75,0.54,2.18
Lewis and Clark County,66290,842456.0,0.07,1.93,0.01,0.01,0.24,0.06,0.95,0.35,1.6
Lexington County,281870,4344921.0,0.14,1.95,0.39,0.04,0.35,0.16,0.94,0.39,2.16
Lexington city,7113,37309.0,0.07,1.12,0.12,0.06,0.3,0.06,0.67,0.22,0.74
Liberty County,152596,1456363.0,0.3,1.16,0.49,0.02,0.34,0.19,0.54,0.4,1.69
Licking County,170678,1891704.0,0.03,1.71,0.07,0.02,0.25,0.12,0.63,0.33,1.56
Limestone County,115175,1110307.0,0.25,1.47,0.31,0.02,0.38,0.17,0.62,0.41,1.79
Lincoln County,596238,7373497.0,0.13,2.12,0.1,0.01,0.35,0.14,0.73,0.46,1.98
Lincoln Parish,47536,371424.0,0.06,1.06,0.91,0.04,0.68,0.2,0.72,0.53,1.71
Linn County,362932,4108461.0,0.1,1.74,0.07,0.03,0.26,0.11,0.67,0.35,1.64
Lipscomb County,3495,117725.0,1.58,3.88,0.02,0.04,0.62,0.29,1.79,0.62,4.76
Litchfield County,184454,3973723.0,0.16,2.47,0.04,0.05,0.2,0.18,1.12,0.48,2.28
Little River County,12494,170028.0,0.09,2.35,0.67,0.0,0.57,0.28,0.83,0.45,2.72
Live Oak County,12043,205595.0,1.27,1.96,0.06,0.01,0.54,0.12,0.83,0.55,2.6
Livingston County,312444,6506618.0,0.08,2.76,0.05,0.03,0.27,0.14,1.08,0.5,2.51
Livingston Parish,137096,989143.0,0.04,1.1,0.07,0.01,0.18,0.07,0.38,0.2,1.08
Llano County,20195,341244.0,0.24,2.65,0.02,0.01,0.34,0.21,1.01,0.59,2.13
Logan County,230740,2783342.0,0.1,2.18,0.1,0.02,0.4,0.18,0.72,0.43,1.99
Long County,17857,105880.0,0.11,0.68,0.27,0.01,0.23,0.18,0.34,0.2,0.89
Lonoke County,71568,879666.0,0.1,1.86,0.21,0.01,0.29,0.11,0.77,0.36,1.94
Lorain County,305405,3893363.0,0.28,1.82,0.21,0.02,0.39,0.19,0.71,0.48,1.99
Los Alamos County,18031,432199.0,0.37,1.61,0.01,0.14,0.12,0.08,1.52,0.28,1.7
Los Angeles County,10105722,152253427.0,1.1,0.63,0.18,0.33,0.4,0.18,0.81,0.45,1.68
Loudon County,51024,530457.0,0.16,1.74,0.03,0.02,0.27,0.13,0.54,0.39,1.66
Loudoun County,374558,8298861.0,0.24,1.02,0.12,0.26,0.07,0.07,0.96,0.23,1.32
Louisa County,46051,518108.0,0.13,1.51,0.22,0.03,0.24,0.12,0.62,0.31,1.57
Loup County,537,58625.0,0.0,18.55,0.0,0.0,1.66,0.13,9.22,2.01,10.67
Love County,9843,155475.0,0.44,2.21,0.05,0.02,0.41,0.11,0.75,0.74,2.39
Loving County,74,80938.0,21.89,100.41,0.0,0.0,23.11,0.0,45.0,0.0,97.03
Lowndes County,183861,1790606.0,0.09,1.14,1.03,0.03,0.59,0.26,0.67,0.45,1.99
Loíza Municipio,27242,166275.0,3.66,0.0,0.0,0.0,1.96,1.13,0.8,1.19,2.84
Lubbock County,298042,3430051.0,0.77,1.23,0.16,0.04,0.46,0.11,0.76,0.47,1.8
Lucas County,442004,5817897.0,0.21,1.88,0.74,0.04,0.72,0.32,0.87,0.66,2.41
Luce County,6406,84959.0,0.09,2.53,0.15,0.0,0.58,0.39,0.89,0.8,2.38
Lumpkin County,31567,177769.0,0.06,1.15,0.03,0.0,0.25,0.07,0.36,0.27,1.09
Luna County,24319,157019.0,1.65,0.73,0.04,0.01,0.78,0.3,0.52,0.62,1.95
Lunenburg County,12369,117523.0,0.13,1.43,0.72,0.11,0.45,0.1,0.56,0.51,1.88
Luquillo Municipio,18952,93714.0,2.57,0.05,0.0,0.0,1.31,0.83,0.56,0.73,2.08
Luzerne County,318222,5083981.0,0.33,2.71,0.11,0.04,0.52,0.24,0.96,0.59,2.6
Lycoming County,115398,1480549.0,0.05,2.28,0.12,0.01,0.38,0.17,0.76,0.51,2.03
Lyman County,3882,87156.0,0.11,2.49,0.0,0.02,1.3,0.46,1.92,0.85,3.9
Lynchburg city,79237,778109.0,0.07,1.46,0.75,0.05,0.61,0.18,0.86,0.56,1.7
Lynn County,5785,136128.0,2.45,2.58,0.06,0.02,0.9,0.38,1.61,0.77,3.92
Lyon County,131407,1553876.0,0.28,1.86,0.03,0.04,0.33,0.14,0.68,0.43,1.82
Mackinac County,10836,209123.0,0.07,3.51,0.09,0.03,0.69,0.47,1.15,1.14,3.25
Macomb County,864019,12278884.0,0.07,1.96,0.3,0.09,0.35,0.18,0.78,0.46,2.15
Macon County,213338,2862069.0,0.09,2.08,0.86,0.03,0.67,0.32,0.9,0.74,2.57
Macoupin County,45960,690940.0,0.03,2.73,0.02,0.01,0.37,0.22,0.87,0.5,2.33
Madera County,154440,1170234.0,0.78,0.59,0.04,0.03,0.32,0.13,0.37,0.26,1.11
Madison County,1373584,17254851.0,0.1,1.73,0.4,0.03,0.4,0.16,0.8,0.42,1.92
Madison Parish,11616,148787.0,0.08,1.52,2.68,0.0,1.54,0.57,1.05,1.38,3.69
Magoffin County,12783,109496.0,0.03,3.1,0.0,0.0,0.98,0.38,0.8,0.47,2.55
Mahaska County,22301,343119.0,0.06,2.94,0.05,0.04,0.46,0.18,1.04,0.49,2.45
Mahnomen County,5500,86921.0,0.14,1.67,0.01,0.02,0.82,0.34,1.0,1.05,2.75
Mahoning County,231857,2810321.0,0.21,2.02,0.68,0.02,0.7,0.35,0.8,0.66,2.49
Major County,7730,159345.0,0.35,3.32,0.01,0.02,0.54,0.16,1.16,0.52,3.41
Malheur County,30421,272162.0,0.74,1.44,0.02,0.04,0.56,0.19,0.64,0.48,1.72
Manassas Park city,16117,162637.0,0.49,0.44,0.15,0.12,0.13,0.08,0.42,0.19,0.88
Manassas city,41379,560454.0,0.56,0.76,0.21,0.09,0.14,0.13,0.58,0.33,1.32
Manatee County,363542,4336018.0,0.32,1.57,0.18,0.04,0.29,0.14,0.7,0.45,1.69
Manatí Municipio,40705,163599.0,2.18,0.02,0.01,0.0,1.06,0.44,0.66,0.51,1.94
Manistee County,24432,410614.0,0.11,3.32,0.08,0.01,0.53,0.31,1.08,0.86,2.97
Manitowoc County,79680,981995.0,0.09,2.16,0.02,0.06,0.26,0.09,0.65,0.43,2.01
Marathon County,135293,1519844.0,0.06,1.75,0.01,0.13,0.23,0.09,0.66,0.3,1.64
Marengo County,19743,205698.0,0.02,1.35,1.66,0.0,0.81,0.34,0.87,0.57,2.64
Maricao Municipio,6180,26987.0,3.23,0.01,0.0,0.0,2.1,0.38,0.43,0.97,2.62
Maricopa County,4155501,58305531.0,0.65,1.26,0.11,0.08,0.35,0.14,0.8,0.4,1.66
Maries County,8959,126247.0,0.08,3.21,0.01,0.01,0.62,0.26,0.82,0.57,2.4
Marin County,260814,6015530.0,0.31,1.54,0.05,0.11,0.17,0.09,1.13,0.29,1.34
Marinette County,40712,556173.0,0.04,2.83,0.02,0.01,0.38,0.17,0.77,0.48,2.49
Marion County,2018526,21032061.0,0.22,1.5,0.43,0.04,0.45,0.19,0.69,0.44,1.81
Mariposa County,17658,338083.0,0.37,2.75,0.04,0.04,0.5,0.34,1.05,1.09,2.11
Marlboro County,27505,235239.0,0.07,1.04,1.23,0.01,0.65,0.39,0.59,0.44,2.12
Marquette County,82309,1376173.0,0.06,3.29,0.04,0.02,0.63,0.23,1.07,0.78,2.8
Marshall County,365049,4086684.0,0.19,1.94,0.13,0.02,0.33,0.14,0.64,0.39,1.92
Martin County,226971,2965540.0,0.24,1.87,0.21,0.02,0.31,0.16,0.83,0.45,1.86
Martinsville city,13256,176985.0,0.18,1.6,1.89,0.01,0.92,0.31,0.89,0.79,2.94
Mason County,152562,1912876.0,0.14,2.35,0.04,0.02,0.44,0.21,0.75,0.54,2.15
Massac County,14594,166151.0,0.07,2.4,0.19,0.01,0.56,0.26,0.73,0.6,2.37
Matagorda County,36744,468104.0,1.09,1.22,0.32,0.04,0.54,0.17,0.69,0.51,2.21
Matanuska-Susitna Borough,101135,1687209.0,0.11,1.89,0.02,0.03,0.26,0.25,0.73,0.42,1.67
Mathews County,8830,123100.0,0.01,1.94,0.25,0.01,0.24,0.03,0.68,0.33,1.75
Maui County,164094,2420093.0,0.23,0.71,0.01,0.51,0.22,0.11,0.6,0.6,1.49
Maunabo Municipio,11297,55689.0,2.64,0.02,0.0,0.0,1.44,0.74,0.76,0.79,2.08
Maury County,87606,902344.0,0.09,1.57,0.22,0.02,0.25,0.12,0.62,0.32,1.67
Maverick County,57471,319925.0,1.5,0.04,0.0,0.01,0.4,0.2,0.3,0.43,1.22
Mayagüez Municipio,79615,391198.0,3.24,0.02,0.0,0.0,1.78,0.96,1.01,0.76,2.55
Mayes County,40929,404352.0,0.07,1.43,0.01,0.01,0.42,0.12,0.6,0.39,1.78
McClain County,37919,347923.0,0.12,1.26,0.02,0.01,0.18,0.06,0.54,0.26,1.36
