,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,Unemployment,Professional,Service,Drive,1,2,3,4,5,6,7,8,9,10
43294,5423,40.8,1.4,53.1,0.7,52294.0,4.4,6.9,31.0,23.7,46.5,0,0,2,2,2,2,6,2,0,0
43295,1675,71.0,1.7,25.5,1.7,42353.0,21.1,7.4,22.8,23.3,26.2,0,0,0,3,0,0,0,0,0,0
43296,3693,61.5,1.5,32.3,0.0,20413.0,54.1,17.8,18.7,39.8,10.3,0,0,2,3,3,3,3,5,5,5
43297,3821,72.0,0.3,27.7,0.0,31638.0,36.4,9.5,16.6,33.7,29.3,0,0,0,3,0,0,0,0,5,5
43299,1437,60.7,1.0,36.7,0.5,36667.0,24.8,16.3,41.1,25.9,41.7,0,0,2,3,3,3,3,5,8,0
43300,6473,77.2,6.8,16.0,0.0,30357.0,26.2,8.6,17.3,35.4,7.0,0,0,0,3,0,0,0,0,5,5
43301,1428,62.0,11.8,8.7,9.7,49706.0,18.8,10.5,31.0,16.6,30.0,0,0,0,3,0,0,0,0,0,0
43302,5946,76.8,1.6,20.4,0.8,20137.0,53.2,11.5,9.3,39.6,5.3,0,0,0,3,0,0,0,0,5,5
43303,7814,46.5,4.6,47.2,1.5,30710.0,41.7,22.8,23.6,35.3,24.0,0,0,2,3,3,3,3,5,5,8
43304,6190,71.0,0.1,25.8,1.0,22940.0,48.3,17.4,18.5,35.8,16.9,0,0,0,3,0,0,3,0,5,5
43305,4446,57.6,3.2,35.4,3.9,19077.0,41.0,26.2,13.4,39.4,12.8,0,0,2,3,3,3,3,5,5,8
43306,1876,62.5,2.5,34.4,0.0,39643.0,23.8,11.6,24.3,39.9,24.9,0,0,0,3,0,0,0,0,5,5
43307,4536,72.7,1.1,23.9,0.0,32872.0,25.0,16.9,12.9,36.6,19.4,0,0,0,3,0,0,0,0,5,5
43308,5101,69.4,1.2,27.2,0.0,24683.0,43.6,16.0,13.8,44.1,10.4,0,0,0,3,0,0,3,0,5,5
43309,5583,73.3,1.3,21.3,1.2,27321.0,45.2,12.5,9.9,36.7,9.4,0,0,0,3,0,0,0,0,5,5
43310,5721,71.5,0.2,25.7,0.5,18428.0,52.7,13.6,18.1,53.7,6.8,0,0,0,3,0,0,0,0,5,5
43311,2151,69.4,0.4,29.3,0.4,17454.0,47.2,5.0,20.2,28.8,8.8,0,0,0,3,0,0,0,0,5,5
43312,4167,46.3,1.3,51.0,0.1,13519.0,58.9,27.1,16.3,51.1,13.3,0,0,2,3,3,3,3,5,8,8
43313,6463,74.6,1.5,19.2,1.8,31692.0,39.9,7.0,8.7,36.1,12.2,0,0,0,3,0,0,0,0,5,5
43314,2608,62.9,0.8,24.1,1.0,21367.0,40.7,19.0,19.7,38.5,21.7,0,0,0,3,3,3,3,5,5,5
43315,2757,65.6,5.3,22.9,1.3,29794.0,34.8,6.1,26.9,40.6,14.3,0,0,0,3,0,0,0,0,5,5
43316,1328,72.8,1.7,19.6,3.8,38321.0,38.7,14.6,27.7,38.2,25.3,0,0,0,3,0,0,0,0,5,5
43317,3869,20.4,2.2,75.8,0.5,42200.0,12.9,12.4,25.8,29.1,33.8,0,0,2,2,2,2,6,2,2,2
43318,7268,66.9,0.2,30.3,2.3,24152.0,35.7,13.0,8.6,46.6,8.6,0,0,0,3,0,0,0,0,5,5
43319,4298,66.1,8.1,19.0,5.4,30524.0,27.2,11.2,25.4,25.9,7.9,0,0,0,3,0,0,0,0,5,5
43320,3309,45.5,4.0,40.8,1.6,31782.0,32.9,10.5,29.1,27.0,35.5,0,0,2,3,0,0,0,0,0,5
43321,5471,64.9,5.0,28.3,1.4,25526.0,38.9,13.3,11.6,50.8,7.2,0,0,0,3,0,0,0,0,5,5
43322,7314,64.0,0.2,35.1,0.0,20972.0,48.0,14.1,13.2,37.2,6.8,0,0,0,3,0,0,0,0,5,5
43323,3435,46.4,3.1,37.2,11.4,48730.0,18.3,9.6,21.2,41.3,19.9,0,0,0,3,0,0,0,0,0,5
43324,8351,55.0,3.5,38.0,1.3,27950.0,35.7,7.7,27.0,27.6,19.9,0,0,0,3,0,0,0,0,5,5
43325,4899,58.1,2.7,23.7,9.4,36016.0,17.7,9.1,15.2,31.3,19.1,0,0,0,3,0,0,0,0,0,5
43326,2702,62.9,2.1,32.2,1.0,38600.0,23.8,13.0,26.8,28.7,25.7,0,0,0,3,0,0,0,0,0,5
43327,5520,44.3,5.5,18.6,25.8,37271.0,33.9,10.4,22.1,31.1,32.5,0,0,0,3,0,0,0,0,5,5
43328,4139,63.7,1.7,33.1,0.0,19935.0,56.7,15.6,11.1,44.3,5.2,0,0,0,3,3,3,3,5,5,5
43329,3466,63.2,2.6,31.2,0.0,36567.0,27.6,6.6,25.5,33.3,40.1,0,0,0,3,0,0,0,0,0,5
43330,6039,60.3,1.4,36.8,0.0,26868.0,32.0,11.8,17.1,38.7,15.4,0,0,0,3,0,0,0,0,5,5
43331,5142,65.5,4.1,16.8,10.8,33108.0,36.7,11.2,13.4,34.7,23.0,0,0,0,3,0,0,0,0,5,5
43332,2087,75.2,2.0,22.2,0.0,34516.0,33.3,10.0,25.8,20.8,15.4,0,0,0,3,0,0,0,0,0,5
43333,7035,67.6,3.3,19.7,6.0,40129.0,32.2,12.1,16.5,25.7,18.1,0,0,0,3,0,0,0,0,5,5
43334,7051,73.7,0.3,24.8,0.0,26438.0,45.2,12.1,15.8,39.9,12.2,0,0,0,3,0,0,0,0,5,5
43335,6575,77.7,0.4,17.0,4.1,27136.0,39.2,14.2,17.8,35.4,12.4,0,0,0,3,0,0,0,0,5,5
43336,2809,61.3,1.9,23.0,8.2,77885.0,8.9,7.9,30.2,22.8,36.4,0,0,0,3,0,0,0,0,0,0
43337,6587,79.6,0.8,18.9,0.1,30898.0,36.9,15.4,15.7,38.3,17.2,0,0,0,3,0,0,0,0,5,5
43338,4046,68.8,1.2,27.3,2.0,22704.0,42.7,12.8,21.5,35.0,14.8,0,0,0,3,0,0,0,0,5,5
43339,6093,72.8,2.3,22.6,0.3,27099.0,40.7,8.4,18.1,36.0,9.7,0,0,0,3,0,0,0,0,5,5
43340,3373,76.0,1.6,22.1,0.4,24821.0,30.1,4.6,19.9,31.7,12.5,0,0,0,3,0,0,0,0,0,5
43341,3877,65.2,3.9,26.8,1.2,30250.0,30.6,10.1,33.5,25.5,25.8,0,0,0,3,0,0,0,0,0,5
43342,6202,56.2,2.3,17.0,14.7,44318.0,20.8,14.6,22.5,35.0,16.6,0,0,0,3,0,0,0,0,5,5
43343,6424,69.8,0.8,29.1,0.0,32565.0,39.2,6.2,17.9,37.4,23.0,0,0,0,3,0,0,0,0,5,5
43344,2607,53.0,6.1,22.5,16.3,49130.0,18.9,21.1,25.3,29.8,27.0,0,0,0,3,3,3,3,5,8,8
43345,5189,70.1,2.0,21.1,4.4,63267.0,18.0,11.5,33.7,20.3,43.7,0,0,0,3,0,0,0,0,0,0
